,MUNICIPIO,Total_Alunos,Total_Inclusao_Digital,Taxa_Inclusao_Digital,Internet,Taxa_Internet,Computador,Taxa_Computador,Nota_Redacao,Nota_CH,Nota_Mat,Nota_LC,Nota_CN,Nota_Media_Geral,Baixa_Estrutura,Alta_Estrutura,Taxa_Alunos,IDEB19,z_score_nota,z_score_IDEB19
43,Caucaia,6754,2391,0.35401243707432634,4937,0.7309742374888955,2521,0.37326029019840096,557.9360379034646,498.04150133254365,507.43263251406574,513.3158128516435,465.4783831803376,508.440873556411,2322,219,0.03047077665741806,4.000000000000001,0.9558440677595172,-0.9908728351897386
44,Cedro,743,209,0.2812920592193809,414,0.5572005383580081,230,0.30955585464333785,503.17631224764466,469.3484522207268,490.0694481830417,490.13835800807533,440.89044414535664,478.72460296096904,246,74,0.0033520561232546074,4.55,-0.20083434815425363,0.39467738933858976
45,Chaval,384,58,0.15104166666666666,177,0.4609375,60,0.15625,529.7916666666666,481.01953125,483.6986979166666,501.32838541666666,447.55833333333334,488.67932291666665,133,0,0.0017324220071733099,3.9,0.1866439416344943,-1.2427910578312558
46,Chorozinho,179,35,0.19553072625698323,146,0.8156424581005587,35,0.19553072625698323,473.5195530726257,451.9581005586592,460.66592178770946,471.68826815642456,424.2022346368715,456.40681564245807,179,0,0.0008075613002188085,4.6,-1.0695336285489898,0.5206365006593467
47,Choró,90,8,0.08888888888888889,37,0.4111111111111111,9,0.1,456.8888888888889,447.8011111111111,462.4377777777778,467.5566666666667,423.1788888888889,451.5726666666667,90,0,0.0004060364079312445,4.0,-1.2576984173185202,-0.9908728351897408
48,Coreaú,667,176,0.2638680659670165,380,0.5697151424287856,194,0.2908545727136432,539.6701649175412,481.22968515742133,506.076311844078,498.93988005997005,448.14197901049477,494.8116041979011,295,0,0.0030091809343348896,4.35,0.4253373327023455,-0.10915905594444014
49,Crateús,2191,777,0.3546325878594249,1605,0.7325422181652214,826,0.3769968051118211,591.3464171611137,496.82560474669094,512.5847101780009,510.5286170698311,466.2104062072113,515.4991510725696,724,41,0.009884730775303963,4.633333333333334,1.2305810079232784,0.6046092415398535
50,Crato,3606,1710,0.47420965058236275,2846,0.7892401552967276,1794,0.49750415973377704,612.7842484747642,507.5655019412091,524.6256794231836,520.3340266222962,479.4819190238492,528.9582750970604,1038,191,0.016268525411111862,4.36,1.754464992834323,-0.08396723368028697
51,Croatá,191,51,0.2670157068062827,147,0.7696335078534031,53,0.2774869109947644,510.36649214659684,456.5471204188482,468.3162303664921,467.1979057591623,436.838219895288,467.8531937172775,191,0,0.0008616994879429745,3.7,-0.6239939227164868,-1.7466275031142846
52,Cruz,480,106,0.22083333333333333,354,0.7375,110,0.22916666666666666,522.8333333333334,490.1408333333333,526.9504166666667,507.809375,452.259375,499.9986666666666,239,5,0.0021655275089666375,4.5,0.6272389535786126,0.2687182780178329
