,MUNICIPIO,Nota_Redacao,Nota_CH,Nota_Mat,Nota_LC,Nota_CN,Nota_Media_Geral,Total_Inclusao_Digital,Taxa_Inclusao_Digital,Internet,Taxa_Internet,Computador,Taxa_Computador,Total_Alunos,Baixa_Estrutura,Alta_Estrutura,Taxa_Alunos,IDEB23,z_score_nota,z_score_IDEB23
65,Alto Santo,475.38461538461536,473.2750915750916,468.6352059925094,476.10659340659345,452.7625468164794,469.64935849056604,74,0.2005420054200542,331,0.8970189701897019,74,0.2005420054200542,369,169,0,0.0015221453586941726,4.75,-0.8463258759561543,0.4686883376763216
66,Araripe,578.5573770491803,494.1796721311475,507.9197654941373,492.4813114754098,462.62596314907876,508.38709677419354,148,0.19786096256684493,624,0.8342245989304813,152,0.20320855614973263,748,227,0,0.0030855412691144744,4.65,0.42357414628833023,0.23480527807626297
67,Itapipoca,584.6332794830372,486.22012924071083,495.91490909090913,489.49647819063006,464.6764297520661,506.019381031614,750,0.19654088050314467,2860,0.749475890985325,777,0.20361635220125787,3816,1795,71,0.015741210538690955,4.622222222222223,0.34595572024198584,0.16983776152069113
68,Horizonte,581.3950177935943,503.2743060498221,507.4050482553823,506.74804270462636,469.2890126206385,516.0396423248882,366,0.1949920085242408,1574,0.838572189664358,373,0.19872136387852957,1877,617,18,0.0077427285589944765,4.8,0.6744397929582948,0.5856298674763509
69,Jijoca de Jericoacoara,602.9725829725829,491.0937950937951,532.5206586826347,496.47056277056276,469.8705089820359,520.6252359208524,163,0.19474313022700118,790,0.9438470728793309,165,0.1971326164874552,837,298,0,0.0034526711794770253,4.9,0.8247646613562102,0.8195129270764117
70,Campos Sales,602.56,496.106,496.8593006993007,492.02066666666667,466.986013986014,514.8464055944056,168,0.19399538106235567,753,0.8695150115473441,174,0.20092378752886836,866,282,0,0.0035722977794828007,4.533333333333334,0.6353231222975508,-0.0380582914571388
71,Assaré,566.099518459069,491.9060995184591,500.3702479338843,492.89117174959875,463.0031404958678,505.27124792013313,156,0.1935483870967742,697,0.8647642679900744,157,0.19478908188585609,806,257,0,0.0033247944691260248,4.233333333333333,0.32143043051145676,-0.739707470257319
72,Cascavel,614.4747612551159,501.3982946793997,512.2256284916201,502.5667803547067,474.7266759776536,523.046512605042,359,0.19269994632313472,1568,0.8416532474503489,367,0.19699409554482017,1863,770,13,0.007684977786577896,4.76,0.9041389214794959,0.4920766436363271
73,Acarape,582.1511627906976,476.37848837209305,468.6348348348348,481.125,457.4471471471471,493.6942342342342,83,0.19212962962962962,371,0.8587962962962963,83,0.19212962962962962,432,103,0,0.0017820238345687873,4.5,-0.0580870784769653,-0.1160193113238271
74,Independência,571.3937282229965,483.83397212543554,484.60849557522124,483.1315331010453,453.47274336283186,496.4085053380783,128,0.187683284457478,624,0.9149560117302052,130,0.1906158357771261,682,271,9,0.002813287627722021,5.599999999999999,0.03089212082249437,2.4566943442768245
75,Cedro,551.2589928057554,469.6656474820144,475.9975881261596,476.99982014388496,460.1014842300557,488.6682899628252,132,0.18696883852691218,586,0.830028328611898,133,0.18838526912181303,706,243,70,0.002912288951864731,4.7,-0.22284751687249685,0.3517468078762923
76,Jaguaretama,517.68,483.01840000000004,501.84273858921165,491.52279999999996,456.8124481327801,493.26276150627615,58,0.1864951768488746,274,0.8810289389067524,60,0.19292604501607716,311,138,0,0.0012828921586826225,4.15,-0.07223161171791134,-0.9346100199240345
77,Banabuiú,507.27272727272725,482.04814814814813,484.63309608540925,487.61851851851856,454.1291814946619,488.2336996336996,86,0.18614718614718614,402,0.8701298701298701,88,0.19047619047619047,462,220,0,0.0019057754897471753,4.0,-0.23709425127353764,-1.2854346093241247
78,Santa Quitéria,541.0358565737051,478.2934262948207,486.9469325153374,481.36185258964144,456.76901840490797,491.4491058581706,222,0.18423236514522823,1106,0.9178423236514522,225,0.18672199170124482,1205,571,6,0.004970691482998585,4.5600000000000005,-0.1316868471012978,0.02431052443620976
79,Redenção,555.0398179749716,479.083731513083,477.094619883041,487.3450511945392,452.9374269005848,492.1844680851064,208,0.184070796460177,941,0.8327433628318585,210,0.18584070796460178,1130,462,10,0.004661312345052615,4.775,-0.10758021233841498,0.5271591025763374
80,Baturité,575.3470919324578,489.671669793621,490.0182083739046,490.73133208255155,465.49844206426485,505.38485798237025,246,0.181549815498155,1138,0.8398523985239852,250,0.18450184501845018,1355,426,26,0.005589449758890525,5.233333333333333,0.3251547940637576,1.599123125743276
81,Lavras da Mangabeira,600.7772795216741,479.31464872944696,481.4074850299401,483.30194319880417,458.21227544910175,503.0469831546707,155,0.1808634772462077,695,0.8109684947491248,156,0.18203033838973162,857,286,0,0.0035351722829292842,4.566666666666666,0.24851461249292908,0.03990272840954534
82,São Gonçalo do Amarante,555.3244837758112,477.3098820058997,492.27346938775514,483.18325958702064,454.1766439909297,494.25083841463413,336,0.17967914438502675,1484,0.7935828877005348,345,0.18449197860962566,1870,744,6,0.007713853172786186,4.6,-0.03984048762295129,0.11786374827623156
83,Ipueiras,584.0401505646173,482.1460476787955,482.36036036036035,483.5828105395232,459.16615186615184,502.103671875,177,0.17717717717717718,905,0.9059059059059059,180,0.18018018018018017,999,459,0,0.004120930117440321,5.35,0.21759099464341572,1.8719866952766777
84,Porteiras,595.7493188010899,487.1269754768393,499.910393258427,483.8179836512262,464.8331460674157,508.451954674221,85,0.17671517671517672,409,0.8503118503118503,86,0.1787941787941788,481,120,0,0.001984151538026821,3.9,0.42570031710616546,-1.5193176689241843
85,Uruoca,534.6753246753246,484.78084415584414,497.66153846153844,485.387012987013,457.97658862876256,491.58528428093643,68,0.17571059431524547,276,0.7131782945736435,69,0.17829457364341086,387,166,0,0.0015963963518012053,4.2,-0.12722264785369577,-0.8176684901240052
86,Santana do Cariri,562.1834061135371,482.189519650655,485.7147465437788,477.37161572052406,461.49907834101384,496.89814814814815,61,0.1742857142857143,158,0.4514285714285714,64,0.18285714285714286,350,176,0,0.001443769310414527,3.6,0.046943584923131464,-2.2209668477243625
87,Ocara,498.504347826087,482.5241739130435,484.3929203539823,483.8052173913043,454.5017699115044,482.0472432432432,137,0.17407878017789072,719,0.9135959339263025,138,0.17534942820838628,787,334,0,0.0032464184208463786,4.3999999999999995,-0.4398985825521015,-0.3499023709238878
