,MUNICIPIO,Nota_Redacao,Nota_CH,Nota_Mat,Nota_LC,Nota_CN,Nota_Media_Geral,Total_Alunos,Total_Inclusao_Digital,Taxa_Inclusao_Digital,Total_Internet,Taxa_Internet,Total_Computador,Taxa_Computador,Taxa_Alunos
34,Missão Velha,631.994459833795,491.3454293628809,509.53199445983375,504.44016620498616,473.1565096952909,522.0937119113573,943,223,0.23647932131495228,786,0.8335100742311771,225,0.23860021208907742,0.003762863766774272
35,Senador Pompeu,606.8828828828829,499.36396396396395,520.7881081081082,511.00648648648644,471.694954954955,521.9472792792793,685,171,0.24963503649635035,578,0.8437956204379562,176,0.2569343065693431,0.0027333633936801444
36,Coreaú,605.5345911949686,492.6166666666667,536.8899371069182,503.6657232704403,469.5701257861635,521.6554088050315,799,166,0.20775969962453067,668,0.8360450563204005,168,0.21026282853566958,0.0031882589073728984
37,Aquiraz,627.8711704634721,488.4290652003142,506.56425765907306,509.52560879811466,473.38185388845244,521.1543912018853,1625,435,0.2676923076923077,1306,0.8036923076923077,441,0.2713846153846154,0.006484256225883555
38,Jaguaruana,620.764192139738,486.417248908297,516.7943231441047,504.6366812227074,472.77893013100436,520.2782751091703,1253,165,0.13168395849960096,790,0.6304868316041501,172,0.1372705506783719,0.0049998603390966736
39,Mucambo,608.6510590858417,491.5580824972129,523.3498327759197,501.86911928651057,474.8780379041248,520.061226309922,1044,273,0.2614942528735632,914,0.8754789272030651,279,0.2672413793103448,0.0041658852306599575
40,Camocim,585.4772393538914,500.79045521292215,519.2077826725404,513.6039647577093,481.15712187958883,520.0473127753304,1821,388,0.21306974190005493,1503,0.8253706754530478,394,0.21636463481603516,0.007266357284513202
41,Irauçuba,611.8884120171674,484.3182403433476,524.0167381974248,508.91652360515025,468.837339055794,519.5954506437769,692,132,0.1907514450867052,597,0.8627167630057804,133,0.19219653179190752,0.002761295574345489
42,Ibiapina,616.9354838709677,493.24,506.0143548387097,505.17483870967743,475.0103225806452,519.275,763,180,0.23591087811271297,616,0.8073394495412844,185,0.24246395806028834,0.0030446076925225553
43,Icapuí,608.6746987951807,488.8942168674699,510.66409638554217,509.4884337349398,477.0862650602409,518.9615421686747,624,171,0.27403846153846156,544,0.8717948717948718,172,0.27564102564102566,0.002489954390739285
44,Caucaia,598.824596408489,497.06330491565393,506.6838200616724,514.9676038454562,477.16560856158173,518.9409867585707,7509,2257,0.3005726461579438,6065,0.8076974297509655,2322,0.3092289252896524,0.029963249230867454
45,Cascavel,606.902404526167,491.6891089108911,511.10594059405946,510.54830268741165,471.88790664780765,518.4267326732673,1809,382,0.2111663902708679,1418,0.7838584853510226,386,0.21337755666113875,0.0072184735462297546
46,Lavras da Mangabeira,638.3358098068351,477.062852897474,504.8658246656761,500.5075780089153,469.1490341753343,517.984219910847,893,178,0.19932810750279956,720,0.8062709966405375,183,0.20492721164613661,0.0035633481905932396
47,Mauriti,626.5766634522662,488.4900675024108,503.04590163934427,500.9195756991321,467.5900675024108,517.3244551591127,1282,261,0.20358814352574103,894,0.6973478939157566,268,0.20904836193447737,0.005115579373281672
48,Pacajus,590.5138806851743,493.31086828115775,514.031896042528,511.7266981689309,473.1183106910809,516.5403307737744,2206,540,0.24478694469628287,1882,0.8531278331822303,553,0.25067996373526746,0.008802627221107152
49,Araripe,616.8563685636857,486.6321138211382,505.40758807588077,506.3922764227642,465.9815718157182,516.2539837398374,933,191,0.20471596998928188,740,0.7931404072883173,195,0.2090032154340836,0.0037229606515380657
50,Iracema,602.2888283378746,494.5730245231607,504.5678474114441,507.0850136239782,471.2217983651226,515.9473024523161,478,109,0.2280334728033473,368,0.7698744769874477,112,0.23430962343096234,0.0019073689082906703
51,Maranguape,596.5264293419633,491.1773462783172,507.81871628910466,510.1686084142395,473.80663430420714,515.8995469255664,2553,645,0.2526439482961222,1959,0.7673325499412456,659,0.25812769291030163,0.010187265319803518
52,Pentecoste,601.824686940966,489.49141323792486,508.6484794275492,508.1607334525939,469.48729874776393,515.5225223613596,1412,236,0.1671388101983003,1004,0.7110481586402266,246,0.17422096317280453,0.005634319871352356
53,Ipu,623.3885542168674,478.9792921686747,507.5457831325302,498.0299698795181,469.36656626506027,515.4620331325301,1611,282,0.1750465549348231,1322,0.8206083178150217,293,0.1818746120422098,0.006428391864552865
